~id,~label,name:String,email:String,phone:String,age:Int,location:String,occupation:String,risk_score:Double,signup_date:Date
U0071,user,Geoffrey Williams,geoffrey.williams@malone-woods.com,+1-435-792-5291,27,Nashville,Engineer,100.0,2024-04-04T13:54:15Z
U0072,user,Mrs. Nicole Greene,mrs..nicole.greene@clay.com,+1-617-580-8683,38,Denver,Software Engineer,9.1,2025-03-09T13:54:15Z
U0073,user,Robert Watts,robert.watts@diaz.com,+1-518-308-1173,44,Kansas City,Dentist,73.1,2024-12-05T13:54:15Z
U0074,user,Mr. Robert Kramer,mr..robert.kramer@hoffman.com,+1-431-829-3153,64,Portland,Nurse,36.9,2024-02-10T13:54:15Z
U0075,user,Peter Huynh,peter.huynh@franco.com,+1-317-958-1923,47,Detroit,Teacher,52.2,2025-06-01T13:54:15Z
U0076,user,Kevin Adams,kevin.adams@hart.com,+1-322-892-2983,43,Fort Worth,Teacher,46.5,2024-08-15T13:54:15Z
U0077,user,Alexander Jenkins,alexander.jenkins@nicholson-roberts.biz,+1-339-579-8127,38,Fort Worth,Teacher,70.3,2025-01-14T13:54:15Z
U0078,user,Sandra Garza,sandra.garza@robertson.com,+1-388-271-1362,46,San Antonio,Graphic Designer,83.7,2025-06-08T13:54:15Z
U0079,user,Nicole Nelson,nicole.nelson@dixon.org,+1-508-734-2833,50,Colorado Springs,Electrician,50.1,2024-05-14T13:54:15Z
U0080,user,Ethan Hawkins,ethan.hawkins@owens.com,+1-829-808-5934,48,Nashville,Plumber,24.4,2024-05-19T13:54:15Z
U0081,user,Anthony King,anthony.king@ruiz-vazquez.org,+1-735-603-9857,30,Houston,Lawyer,12.8,2023-09-01T13:54:15Z
U0082,user,Benjamin Martinez,benjamin.martinez@dickerson-smith.com,+1-481-921-3011,46,Jacksonville,Sales Representative,60.2,2024-09-17T13:54:15Z
U0083,user,Heather Rice,heather.rice@watts.com,+1-443-684-2675,37,Portland,Plumber,71.9,2023-12-07T13:54:15Z
U0084,user,Katelyn Clark,katelyn.clark@norman-george.biz,+1-269-924-6444,60,Louisville,Electrician,90.1,2025-05-07T13:54:15Z
U0085,user,Aaron Taylor,aaron.taylor@gray-brown.com,+1-284-788-7837,22,Denver,Marketing Manager,71.3,2024-10-18T13:54:15Z
U0086,user,Rebecca Baker,rebecca.baker@smith.net,+1-934-360-8072,67,San Jose,Accountant,38.2,2024-06-24T13:54:15Z
U0087,user,Jeffrey Wheeler,jeffrey.wheeler@fowler.net,+1-570-797-3504,57,Memphis,HR Specialist,49.7,2024-11-22T13:54:15Z
U0088,user,Laurie Campbell,laurie.campbell@robinson-wright.com,+1-600-450-4357,18,Colorado Springs,Architect,82.4,2025-07-16T13:54:15Z
U0089,user,Albert Foster,albert.foster@murphy.biz,+1-814-997-6308,57,Louisville,Police Officer,80.8,2024-08-24T13:54:15Z
U0090,user,Dylan Hansen,dylan.hansen@robinson.com,+1-639-459-8578,35,Baltimore,Lawyer,16.9,2025-04-06T13:54:15Z
U0091,user,James Mills,james.mills@edwards-green.net,+1-964-592-7061,68,Kansas City,Web Developer,7.8,2024-11-18T13:54:15Z
U0092,user,George Freeman,george.freeman@moore-greer.net,+1-261-522-7494,68,Denver,Financial Analyst,43.3,2023-10-23T13:54:15Z
U0093,user,Louis Smith,louis.smith@hines.com,+1-510-620-7221,43,Miami,Dentist,1.3,2025-08-12T13:54:15Z
U0094,user,Sonya Sanders,sonya.sanders@valdez.org,+1-895-380-3364,50,Baltimore,Web Developer,59.7,2024-03-01T13:54:15Z
U0095,user,Sara Hobbs,sara.hobbs@bush-johnson.com,+1-362-860-9864,69,Dallas,Lawyer,66.4,2025-01-29T13:54:15Z
U0096,user,Robert Burns,robert.burns@torres.info,+1-959-892-4352,65,Boston,Accountant,50.2,2024-08-01T13:54:15Z
U0097,user,Sean Cole,sean.cole@johnson-hodges.org,+1-282-972-9874,68,Jacksonville,HR Specialist,1.9,2023-10-31T13:54:15Z
U0098,user,William Ellis,william.ellis@morrison.biz,+1-654-812-3031,20,Las Vegas,Accountant,80.3,2024-12-17T13:54:15Z
U0099,user,Gabrielle Mendoza,gabrielle.mendoza@hall-cruz.com,+1-824-579-9223,60,Raleigh,Web Developer,5.6,2024-01-17T13:54:15Z
U0100,user,Patricia King,patricia.king@harrison-kerr.biz,+1-323-583-7695,44,Houston,Architect,71.1,2023-12-30T13:54:15Z
U0101,user,Sarah Carpenter,sarah.carpenter@stone.com,+1-412-998-9143,60,Louisville,Police Officer,72.7,2024-07-31T13:54:15Z
U0102,user,Brian Craig,brian.craig@patterson-fowler.com,+1-634-986-2418,45,Milwaukee,Teacher,85.9,2024-11-14T13:54:15Z
U0103,user,Scott Barr,scott.barr@hurst.net,+1-317-530-1298,26,San Francisco,Lawyer,95.2,2024-03-17T13:54:15Z
U0104,user,Jesse Jones,jesse.jones@coleman.biz,+1-534-246-9008,66,Memphis,Electrician,9.1,2024-05-26T13:54:15Z
U0105,user,Joel Hall,joel.hall@parker.com,+1-259-802-6450,35,Washington,Data Scientist,30.1,2024-01-02T13:54:15Z
U0106,user,Joshua Rivera,joshua.rivera@stark.com,+1-620-466-8275,38,Chicago,Nurse,71.3,2024-08-15T13:54:15Z
U0107,user,Janice Lamb,janice.lamb@moore.com,+1-743-572-4084,43,Chicago,Nurse,54.3,2024-06-26T13:54:15Z
U0108,user,Laurie Wilson,laurie.wilson@chang-hanson.net,+1-375-343-2008,56,Nashville,Doctor,37.1,2025-03-06T13:54:15Z
U0109,user,Susan Martin,susan.martin@moses.biz,+1-836-415-4192,46,Milwaukee,Police Officer,93.7,2024-03-29T13:54:15Z
U0110,user,Joseph Garcia,joseph.garcia@bailey.com,+1-470-357-4901,26,Kansas City,Accountant,92.1,2024-04-30T13:54:15Z
U0111,user,Micheal Brown,micheal.brown@lewis-nolan.com,+1-404-936-9813,59,Milwaukee,Graphic Designer,48.7,2025-05-05T13:54:15Z
U0112,user,Frank Cunningham,frank.cunningham@johnson-underwood.biz,+1-633-470-2803,36,Portland,Police Officer,75.5,2025-02-07T13:54:15Z
U0113,user,Sandra Scott,sandra.scott@weeks.com,+1-678-308-2670,57,Indianapolis,Sales Representative,96.2,2025-07-25T13:54:15Z
U0114,user,Paul Nelson,paul.nelson@wood-williams.com,+1-334-661-5590,25,Memphis,Graphic Designer,85.8,2025-06-16T13:54:15Z
U0115,user,Wendy Williams,wendy.williams@edwards-rowe.info,+1-830-547-4809,62,Memphis,Graphic Designer,73.8,2025-06-17T13:54:15Z
U0116,user,Lisa Moore,lisa.moore@warren-martin.net,+1-310-689-9703,32,Milwaukee,Project Manager,39.6,2024-10-10T13:54:15Z
U0117,user,Stephanie Curry,stephanie.curry@moore-bradshaw.com,+1-660-360-3989,18,Los Angeles,Web Developer,68.5,2024-05-03T13:54:15Z
U0118,user,Kevin Washington,kevin.washington@greene.org,+1-741-757-6626,47,Columbus,Chef,68.1,2025-01-09T13:54:15Z
U0119,user,Mr. Jason Welch,mr..jason.welch@braun-griffin.com,+1-483-561-8070,52,San Antonio,Accountant,71.9,2024-09-25T13:54:15Z
U0120,user,Sara Huff,sara.huff@good.info,+1-890-705-8988,55,Boston,Sales Representative,15.7,2023-10-16T13:54:15Z
U0121,user,Susan Franco,susan.franco@lopez-matthews.com,+1-805-774-3920,24,Chicago,Project Manager,70.7,2025-05-03T13:54:15Z
U0122,user,Miguel Brown,miguel.brown@steele-simpson.com,+1-275-601-8989,39,Chicago,Teacher,14.7,2023-12-25T13:54:15Z
U0123,user,Chloe Morales,chloe.morales@rodriguez.com,+1-799-450-4363,25,San Antonio,Police Officer,17.3,2025-07-15T13:54:15Z
U0124,user,Victor Moore,victor.moore@finley-brown.com,+1-816-304-7930,25,Baltimore,Sales Representative,52.8,2024-05-03T13:54:15Z
U0125,user,Steven Ortiz,steven.ortiz@bradford-marshall.com,+1-536-994-5800,51,Nashville,Marketing Manager,64.5,2025-07-25T13:54:15Z
U0126,user,Dr. Jeffrey Ewing,dr..jeffrey.ewing@johnston-mann.info,+1-671-766-6286,31,Fort Worth,Electrician,34.4,2024-03-08T13:54:15Z
U0127,user,Jeffrey Figueroa,jeffrey.figueroa@smith-marks.com,+1-235-971-3362,48,Washington,Engineer,42.5,2024-07-21T13:54:15Z
U0128,user,Michael Moore,michael.moore@lawson.net,+1-379-835-6143,49,Dallas,Teacher,61.3,2024-09-25T13:54:15Z
U0129,user,Ashlee Kerr,ashlee.kerr@murray-taylor.com,+1-864-338-4434,68,Detroit,Project Manager,31.9,2024-10-17T13:54:15Z
U0130,user,Jessica Thomas,jessica.thomas@collins-sampson.biz,+1-453-922-1369,53,Milwaukee,Financial Analyst,7.9,2025-06-18T13:54:15Z
U0131,user,Wendy Andrews,wendy.andrews@dixon-forbes.com,+1-471-763-4648,19,San Jose,Project Manager,24.2,2025-07-16T13:54:15Z
U0132,user,Beth Barnes,beth.barnes@cruz-mcdonald.net,+1-773-498-4717,49,Los Angeles,Real Estate Agent,81.2,2024-04-04T13:54:15Z
U0133,user,Matthew Fleming,matthew.fleming@oliver-myers.com,+1-284-875-3714,52,San Jose,Financial Analyst,47.1,2025-01-27T13:54:15Z
U0134,user,Robert Bell,robert.bell@li.com,+1-542-306-3158,63,Charlotte,Web Developer,43.2,2023-09-15T13:54:15Z
U0135,user,Marcus Ewing,marcus.ewing@davis.com,+1-867-672-8634,19,Chicago,HR Specialist,98.8,2025-01-29T13:54:15Z
U0136,user,Megan Ochoa,megan.ochoa@reynolds.com,+1-423-991-6817,67,Columbus,Financial Analyst,55.8,2024-09-10T13:54:15Z
U0137,user,Aaron Young,aaron.young@white.com,+1-704-554-1186,34,Chicago,Dentist,10.8,2023-10-07T13:54:15Z
U0138,user,Jennifer Cunningham,jennifer.cunningham@rogers.com,+1-446-262-3344,32,Nashville,Data Scientist,93.6,2025-02-10T13:54:15Z
U0139,user,Kathryn Hamilton,kathryn.hamilton@owens.com,+1-826-346-1028,24,Baltimore,Software Engineer,10.5,2025-08-03T13:54:15Z
U0140,user,Steve Allen,steve.allen@johnson.com,+1-913-332-4349,28,Las Vegas,Architect,74.2,2023-12-15T13:54:15Z
U0141,user,Reginald Wallace,reginald.wallace@todd.com,+1-583-472-3697,68,Kansas City,Mechanic,29.1,2023-11-20T13:54:15Z
U0142,user,Ronnie Anderson,ronnie.anderson@stewart.info,+1-862-876-2581,60,Columbus,Data Scientist,73.9,2023-12-16T13:54:15Z
U0143,user,Nicholas Wade,nicholas.wade@smith-maynard.com,+1-921-480-4990,24,Chicago,Marketing Manager,50.8,2025-03-24T13:54:15Z
U0144,user,Jacqueline Hart,jacqueline.hart@vasquez.com,+1-544-636-2431,42,Kansas City,Consultant,9.8,2023-11-24T13:54:15Z
U0145,user,Hailey Nunez,hailey.nunez@monroe.biz,+1-676-705-1968,62,Charlotte,Marketing Manager,34.9,2024-11-25T13:54:15Z
U0146,user,Tasha Stewart,tasha.stewart@carlson-sawyer.com,+1-841-507-5623,39,Indianapolis,Teacher,17.8,2024-12-15T13:54:15Z
U0147,user,Alexander Reyes,alexander.reyes@cook.com,+1-931-591-9037,50,San Antonio,Dentist,84.7,2025-07-31T13:54:15Z
U0148,user,John Juarez,john.juarez@brennan.com,+1-207-422-9124,38,New York,Dentist,86.1,2024-04-20T13:54:15Z
U0149,user,Christina Rich,christina.rich@matthews-robinson.com,+1-720-835-4007,58,New York,Marketing Manager,9.5,2025-08-10T13:54:15Z
U0150,user,Craig Hubbard,craig.hubbard@aguirre-cook.com,+1-470-902-4389,64,Seattle,Project Manager,86.9,2023-12-17T13:54:15Z
U0151,user,Lori Vasquez,lori.vasquez@moore.com,+1-629-850-8964,25,Houston,Doctor,48.0,2025-04-21T13:54:15Z
U0152,user,Michael Jones,michael.jones@mays.com,+1-980-732-5601,25,San Jose,Police Officer,11.2,2024-09-13T13:54:15Z
U0153,user,Robert Anderson,robert.anderson@gibbs.com,+1-307-801-4009,24,Columbus,Police Officer,6.0,2025-05-05T13:54:15Z
U0154,user,Katrina Baird,katrina.baird@rodriguez.com,+1-529-495-7758,50,Philadelphia,Data Scientist,59.9,2024-09-27T13:54:15Z
U0155,user,Nathan Jones,nathan.jones@nichols.org,+1-514-778-1519,50,Nashville,Lawyer,69.9,2024-05-14T13:54:15Z
U0156,user,Mary Sanchez,mary.sanchez@spencer-duran.com,+1-295-286-4775,28,Raleigh,Chef,21.2,2025-01-13T13:54:15Z
U0157,user,Stephanie Robertson,stephanie.robertson@webster-guzman.com,+1-576-293-4295,23,San Diego,Financial Analyst,49.1,2024-07-13T13:54:15Z
U0158,user,Kelly Smith,kelly.smith@weaver.com,+1-912-413-2325,61,Kansas City,Web Developer,7.2,2024-03-08T13:54:15Z
U0159,user,Susan Romero,susan.romero@martinez.com,+1-878-508-1483,53,Kansas City,Chef,4.5,2024-10-05T13:54:15Z
U0160,user,Andrew Combs,andrew.combs@neal.com,+1-832-248-4233,34,Miami,Electrician,82.7,2024-11-02T13:54:15Z
U0161,user,Travis Walker,travis.walker@holmes.org,+1-240-492-4890,22,Nashville,Nurse,11.4,2024-12-09T13:54:15Z
U0162,user,Madison Ali,madison.ali@key.biz,+1-524-429-1914,66,Baltimore,Nurse,19.4,2024-04-25T13:54:15Z
U0163,user,Laura Barnes,laura.barnes@yu.com,+1-774-417-7958,37,Austin,Construction Manager,65.9,2025-05-25T13:54:15Z
U0164,user,Sheryl Bullock,sheryl.bullock@gallegos-parsons.com,+1-246-282-1060,21,Detroit,Chef,76.7,2025-08-20T13:54:15Z
U0165,user,Brittany Jennings,brittany.jennings@reed.com,+1-743-982-9292,21,New York,Graphic Designer,46.0,2023-10-09T13:54:15Z
U0166,user,Robert Adams,robert.adams@colon.com,+1-468-380-6918,38,Columbus,Electrician,69.1,2025-05-28T13:54:15Z
U0167,user,Sarah Price,sarah.price@hernandez.com,+1-540-403-8727,38,Miami,Nurse,60.3,2024-12-07T13:54:15Z
U0168,user,Jaclyn Schmitt,jaclyn.schmitt@simpson-valenzuela.com,+1-205-575-4884,55,Philadelphia,Dentist,70.0,2025-02-03T13:54:15Z
U0169,user,Jeanette Henry,jeanette.henry@welch.org,+1-876-797-6096,28,Charlotte,Teacher,24.2,2025-06-19T13:54:15Z
U0170,user,Sarah Turner,sarah.turner@hudson.com,+1-427-973-4032,19,Las Vegas,Data Scientist,38.4,2025-07-29T13:54:15Z
U0171,user,Guy Rice,guy.rice@hutchinson.org,+1-880-850-1910,44,Miami,Architect,86.8,2024-06-06T13:54:15Z
U0172,user,Cheryl Barron,cheryl.barron@boone.info,+1-892-334-2280,35,Philadelphia,Construction Manager,35.3,2024-10-21T13:54:15Z
U0173,user,Wendy Barry DVM,wendy.barry.dvm@lowery.com,+1-894-258-8861,63,Boston,Consultant,42.1,2024-07-05T13:54:15Z
U0174,user,Steven Caldwell,steven.caldwell@diaz.info,+1-864-229-1957,29,Raleigh,Construction Manager,79.0,2023-11-12T13:54:15Z
U0175,user,Joshua Wilson,joshua.wilson@smith.org,+1-288-638-4438,37,Dallas,Nurse,3.2,2023-12-19T13:54:15Z
U0176,user,Stephen Johnson,stephen.johnson@wood.com,+1-582-260-5268,70,Charlotte,HR Specialist,47.3,2024-05-08T13:54:15Z
U0177,user,Megan Wells,megan.wells@gomez.org,+1-618-929-3692,54,Austin,Lawyer,67.0,2024-10-11T13:54:15Z
U0178,user,Jeffrey Reyes,jeffrey.reyes@austin-thompson.org,+1-224-935-3539,59,Denver,Consultant,99.2,2024-09-18T13:54:15Z
U0179,user,Charles Ellis,charles.ellis@martin.com,+1-235-595-8421,42,Nashville,Nurse,23.8,2024-07-11T13:54:15Z
U0180,user,Julie Hall,julie.hall@martinez-harris.org,+1-969-629-8610,35,Las Vegas,Lawyer,82.9,2024-08-17T13:54:15Z
U0181,user,Yvonne Sanford,yvonne.sanford@branch.com,+1-923-323-5086,51,Houston,Accountant,17.7,2023-10-29T13:54:15Z
U0182,user,Vernon Hebert,vernon.hebert@shannon.com,+1-474-543-6378,19,Houston,Plumber,54.6,2025-05-17T13:54:15Z
U0183,user,Kathleen Gregory,kathleen.gregory@fisher.com,+1-770-770-8993,34,San Francisco,Police Officer,90.2,2024-08-18T13:54:15Z
U0184,user,Thomas Anderson,thomas.anderson@guerrero-duncan.com,+1-454-259-6227,43,Phoenix,Architect,63.3,2023-09-10T13:54:15Z
U0185,user,Ricardo Estrada,ricardo.estrada@davis-beard.com,+1-838-740-6389,62,Colorado Springs,Architect,80.8,2025-03-08T13:54:15Z
U0186,user,Lisa Johnson,lisa.johnson@lopez.com,+1-474-588-1204,55,San Francisco,Engineer,41.5,2023-09-03T13:54:15Z
U0187,user,Jessica Alvarado,jessica.alvarado@burch-gates.com,+1-816-487-6899,70,Nashville,Construction Manager,82.4,2024-11-14T13:54:15Z
U0188,user,Jennifer Tucker,jennifer.tucker@scott.com,+1-611-881-3058,55,Las Vegas,Plumber,80.4,2024-10-28T13:54:15Z
U0189,user,Anne Stanley,anne.stanley@phillips.com,+1-753-680-1130,21,Chicago,Doctor,82.5,2025-07-01T13:54:15Z
U0190,user,Danielle Mcdonald,danielle.mcdonald@thompson.net,+1-621-300-9901,47,Denver,Financial Analyst,54.5,2025-04-23T13:54:15Z
U0191,user,Michael Floyd,michael.floyd@newman-lopez.com,+1-954-376-9516,57,Phoenix,Sales Representative,69.1,2023-10-07T13:54:15Z
U0192,user,Frederick Vargas,frederick.vargas@anderson.info,+1-509-580-3287,67,San Jose,Data Scientist,23.3,2024-06-21T13:54:15Z
U0193,user,Randy Bryant,randy.bryant@cox-craig.com,+1-887-371-3715,48,Las Vegas,Police Officer,15.2,2025-06-20T13:54:15Z
U0194,user,Brian Ballard,brian.ballard@wiley.com,+1-849-621-2569,57,Washington,Engineer,95.0,2024-12-18T13:54:15Z
